,org_mode,dst_mode,bike_distance,bike_duration,bike_cost,taxi_cost,taxi_distance,taxis_duration,origin_1,destination_1
172,metro,metro,15952,63.8,3,43,15769,33.3,Weigongcun_m,Futong_m
173,metro,metro,6003,24.01666667,1,21,6789,15.63333333,Weigongcun_m,Mudanyuan_m
174,metro,metro,21820,87.28333333,3,77,25556,52.93333333,Weigongcun_m,Songjiazhuang_m
175,metro,metro,5240,20.96666667,1,20,6234,16.95,Weigongcun_m,Bagou_m
176,metro,metro,3291,13.16666667,1,17,5074,16.96666667,Weigongcun_m,Guojiatushuguan_m
177,metro,metro,8209,32.83333333,2,26,8743,23.76666667,Weigongcun_m,Beihaibei_m
178,metro,metro,33841,135.3666667,5,115,36697,66.66666667,Weigongcun_m,Tongzhoubeiguan_m
179,metro,metro,12470,49.88333333,2,34,12256,26.35,Weigongcun_m,Taiyanggong_m
180,metro,metro,4520,18.08333333,1,18,5537,16.35,Weigongcun_m,Huoqiying_m
181,metro,metro,12501,50.0,2,35,12715,30.33333333,Weigongcun_m,Anlilu_m
182,metro,metro,15674,62.7,3,47,17061,27.23333333,Weigongcun_m,Beijingnanzhan_m
183,metro,metro,15372,61.48333333,3,54,19147,37.61666667,Weigongcun_m,Bajiaoyouleyuan_m
184,metro,metro,10572,42.28333333,2,31,11168,23.28333333,Weigongcun_m,Beixinqiao_m
185,metro,metro,8716,34.86666667,2,26,8974,23.48333333,Weigongcun_m,Xisi_m
186,metro,metro,18392,73.56666667,3,62,21243,32.28333333,Weigongcun_m,Jingtai_m
187,metro,metro,24204,96.81666667,4,82,27100,38.23333333,Weigongcun_m,Sunhe_m
188,metro,metro,30300,121.2,5,103,33214,52.31666667,Weigongcun_m,Hualikan_m
189,metro,metro,13423,53.68333333,2,43,15717,39.45,Weigongcun_m,Xixiaokou_m
190,metro,metro,9965,39.86666667,2,30,10613,23.73333333,Weigongcun_m,Yonghegong_m
191,metro,metro,10071,40.28333333,2,31,10921,27.83333333,Weigongcun_m,Wukesong_m
192,metro,metro,30343,121.3666667,5,119,37914,62.5,Weigongcun_m,Libafang_m
193,metro,metro,11523,46.08333333,2,27,9200,24.78333333,Weigongcun_m,Daguanying_m
194,metro,metro,21403,85.61666667,3,75,25011,52.26666667,Weigongcun_m,Sihuidong_m
195,metro,metro,26630,106.5166667,4,88,28888,60.15,Weigongcun_m,Shuangqiao_m
196,metro,metro,33511,134.05,5,106,33957,61.63333333,Weigongcun_m,Tongzhoubeiyuan_m
197,metro,metro,10984,43.93333333,2,31,11236,24.31666667,Weigongcun_m,Aolinpikegongyuan_m
198,metro,metro,5374,21.5,1,19,5881,20.88333333,Weigongcun_m,Wudaokou_m
199,metro,metro,14945,59.78333333,2,42,15580,32.33333333,Weigongcun_m,Gaojiayuan_m
200,metro,metro,4461,17.85,1,16,4533,15.8,Weigongcun_m,Zhongguancun_m
201,metro,metro,11073,44.28333333,2,32,11650,23.35,Weigongcun_m,Guanganmennei_m
202,metro,metro,18134,72.53333333,3,66,22413,41.86666667,Weigongcun_m,Jiaomendong_m
203,metro,metro,3573,14.3,1,16,4498,13.46666667,Weigongcun_m,Changchunqiao_m
204,metro,metro,7531,30.11666667,2,24,7829,16.25,Weigongcun_m,Anhuaqiao_m
205,metro,metro,20994,83.98333333,3,63,21660,58.91666667,Weigongcun_m,Qingnianlu_m
206,metro,metro,12990,51.96666667,2,54,18916,37.03333333,Weigongcun_m,Xierqi_m
207,metro,metro,9264,37.05,2,28,9617,21.85,Weigongcun_m,Lingjinghutong_m
208,metro,metro,23070,92.28333333,4,75,25021,37.6,Weigongcun_m,Maquanying_m
209,metro,metro,22870,91.48333333,4,78,25843,52.63333333,Weigongcun_m,Chengshousi_m
210,metro,metro,3731,14.91666667,1,17,4772,14.83333333,Weigongcun_m,Zhichunlu_m
211,metro,metro,41408,165.6333333,6,144,45205,58.65,Weigongcun_m,Shunyi_m
212,metro,metro,19091,76.36666667,3,55,19257,52.31666667,Weigongcun_m,Shilibao_m
213,metro,metro,13681,54.71666667,2,38,13927,31.51666667,Weigongcun_m,Nongyezhanlanguan_m
214,metro,metro,15912,63.65,3,50,17820,37.15,Weigongcun_m,Wangjingnan_m
215,metro,metro,3081,12.31666667,1,15,4092,15.1,Weigongcun_m,Suzhoujie_m
216,metro,metro,16527,66.1,3,43,15764,30.48333333,Weigongcun_m,Wangjing_m
217,metro,metro,34795,139.1833333,5,123,39009,66.4,Weigongcun_m,Liangxiangdaxuecheng_m
218,metro,metro,12321,49.28333333,2,37,13644,30.28333333,Weigongcun_m,Senlingongyuannanmen_m
219,metro,metro,13385,53.53333333,2,38,14069,29.43333333,Weigongcun_m,Qilizhuang_m
220,metro,metro,13181,52.71666667,2,38,14268,32.35,Weigongcun_m,Hufangqiao_m
221,metro,metro,43285,173.1333333,6,144,45217,69.83333333,Weigongcun_m,Lucheng_m
222,metro,metro,12898,51.58333333,2,46,16645,33.45,Weigongcun_m,Wangfujing_m
223,metro,metro,10969,43.88333333,2,32,11631,24.51666667,Weigongcun_m,Liuliqiao_m
224,metro,metro,12032,48.13333333,2,34,12237,30.26666667,Weigongcun_m,Hepingmen_m
225,metro,metro,14324,57.3,2,40,14989,33.3,Weigongcun_m,Zhushikou_m
226,metro,metro,18968,75.86666667,3,59,20399,45.88333333,Weigongcun_m,Guangqumenwai_m
227,metro,metro,13643,54.56666667,2,36,13069,34.21666667,Weigongcun_m,Lincuiqiao_m
228,metro,metro,27695,110.7833333,4,94,30586,45.85,Weigongcun_m,Guozhan_m
229,metro,metro,19665,78.66666667,3,72,24162,43.46666667,Weigongcun_m,Zhuxinzhuang_m
230,metro,metro,21555,86.21666667,3,70,23531,38.08333333,Weigongcun_m,Yuanboyuan_m
231,metro,metro,5381,21.51666667,1,20,6307,19.78333333,Weigongcun_m,Yuanmingyuan_m
232,metro,metro,7057,28.23333333,1,22,7127,15.96666667,Weigongcun_m,Jiandemen_m
233,metro,metro,19893,79.56666667,3,60,20802,47.38333333,Weigongcun_m,Jiulongshan_m
234,metro,metro,5786,23.15,1,21,6724,19.21666667,Weigongcun_m,Cishousi_m
235,metro,metro,7982,31.93333333,2,25,8285,22.2,Weigongcun_m,Liudaokou_m
236,metro,metro,12290,49.16666667,2,36,13115,29.6,Weigongcun_m,Dongzhimen_m
237,metro,metro,35075,140.3,5,110,35163,57.73333333,Weigongcun_m,Tongjinanlu_m
238,metro,metro,12493,49.96666667,2,37,13669,38.43333333,Weigongcun_m,Tiananmenxi_m
239,metro,metro,32313,129.25,5,100,32377,56.28333333,Weigongcun_m,Rongjingdongjie_m
240,metro,metro,20375,81.5,3,66,22397,34.58333333,Weigongcun_m,Fangzhuang_m
241,metro,metro,16496,65.98333333,3,55,19246,35.66666667,Weigongcun_m,Caoqiao_m
242,metro,metro,11946,47.78333333,2,35,12973,30.8,Weigongcun_m,Yuquanlu_m
243,metro,metro,22476,89.9,3,67,22722,52.98333333,Weigongcun_m,Beigongdaximen_m
244,metro,metro,15392,61.56666667,3,43,15696,28.75,Weigongcun_m,Beijingzhan_m
245,metro,metro,16535,66.13333333,3,45,16519,39.0,Weigongcun_m,Beiyuanlubei_m
246,metro,metro,8424,33.7,2,28,9875,23.31666667,Weigongcun_m,Beigongmen_m
247,metro,metro,12271,49.08333333,2,35,12724,32.51666667,Weigongcun_m,Dongsi_m
248,metro,metro,13633,54.53333333,2,39,14415,30.86666667,Weigongcun_m,Taoranting_m
249,metro,metro,35738,142.95,5,118,37576,59.4,Weigongcun_m,Liangxiangnanguan_m
250,metro,metro,14412,57.65,2,39,14715,34.31666667,Weigongcun_m,Tuanjiehu_m
251,metro,metro,28459,113.8333333,4,93,30407,55.3,Weigongcun_m,Jiaohuachang_m
252,metro,metro,13493,53.96666667,2,38,13916,31.95,Weigongcun_m,Liangmaqiao_m
253,metro,metro,30273,121.0833333,5,105,33918,58.48333333,Weigongcun_m,Caofang_m
254,metro,metro,32740,130.9666667,5,114,36392,57.11666667,Weigongcun_m,Guangyangcheng_m
255,metro,metro,5709,22.83333333,1,21,6709,15.76666667,Weigongcun_m,Chegongzhuang_m
